,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
84,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",199734,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
85,"Você Não Manda Em Mim","Marília Mendonça",197652,https://open.spotify.com/track/13hyExMFjdAQ6ZsgqLdpSS
86,"Cold Heart - PNAU Remix","Elton John",195945,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
87,"Superação Digital","Xand Avião",193765,https://open.spotify.com/track/6AQqsFYtCQi9m7MJcMjGup
88,"Can I Get It",Adele,193615,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
89,"Unha de Gel","Os Barões Da Pisadinha",190209,https://open.spotify.com/track/0PH49SrRKOFVWF81PobhW6
90,"Meu Bem","João Gomes",188959,https://open.spotify.com/track/3QKv1RIrWsLTA63oxscVrZ
91,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",188572,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
92,"Menina Se Prepara","Mc Pepeu",185585,https://open.spotify.com/track/2aqqXrjrPdRHU9uSeRmL3C
93,Beggin',Måneskin,184783,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
94,"Faking Love (feat. Saweetie)",Anitta,179407,https://open.spotify.com/track/3V7jLMYvvg4BHi4tmDveNc
95,"I Drink Wine",Adele,179395,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
96,"Facas - Ao Vivo","Diego & Victor Hugo",179057,https://open.spotify.com/track/6Aw11M9NT2tBeEj3mPKrjy
97,"Uma Ex (Ao Vivo)","Murilo Huff",178527,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
98,"Eu e Eu","Vitor e Luan",177670,https://open.spotify.com/track/7DETyuwRe61Ab57w90dJ37
99,"Imagine a Cena","Eric Land",175190,https://open.spotify.com/track/7b0W6Ra4fEoTTUWjQW1lpl
100,"Sem Filtro",IZA,174855,https://open.spotify.com/track/0bfyJd1OWcUUDcexrOn9bz
101,"Cry Your Heart Out",Adele,174732,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
102,"Mesa Falsa - Ao Vivo","Guilherme & Benuto",174228,https://open.spotify.com/track/6KBITvbscpEpSIcsOSjww8
103,Troca,"Jorge & Mateus",173373,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
104,"Ficante Fiel","Mad Dogz",173182,https://open.spotify.com/track/07Kp3cAQRY0iPp4ATMoehM
105,"Eu Não Vou Namorar","Marília Mendonça",172219,https://open.spotify.com/track/4X76i15ANs7rr70xcUn0Ru
106,"Quero Você do Jeito Que Quiser","Marília Mendonça",170177,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
107,"Faxina (Ao Vivo No Casa Filtr)","Guilherme & Benuto",169938,https://open.spotify.com/track/73ghohUx3BscZn4hQbD35X
108,"Meu Menino","Deolane Bezerra",168572,https://open.spotify.com/track/4h7JZhRQPB8au8qWs7O8yP
109,"Quem Quer Superar - Ao Vivo","Marcos & Belutti",166566,https://open.spotify.com/track/7MCKsjVXmUxWaHT0fGMuYh
110,"Estrelinha - Ao Vivo","Di Paullo & Paulino",165947,https://open.spotify.com/track/2wf5rkl0KdC5v2QhOmTCMa
111,"Vida Louca","Mc Poze do Rodo",163000,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
112,"Corte Americano","Filipe Ret",160603,https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh
113,"MONTERO (Call Me By Your Name)","Lil Nas X",159277,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
114,"Nunca Vai Ser Nós","Murilo Huff",158926,https://open.spotify.com/track/6KoWlMNCiFdHnzYSX1Ag8q
115,Viela,"Marcynho Sensação",158392,https://open.spotify.com/track/297PAlIk1PSDeZFkdC4WIe
116,"Bebi Liguei - Ao Vivo","Marília Mendonça",157970,https://open.spotify.com/track/3RbXsVQr4jeTxvT35Hssq3
117,"Socadona (feat. Mr. Vegas)",LUDMILLA,156098,https://open.spotify.com/track/5jYEiTNR3FQXFouTX7Ju0N
118,"Mil Motivos",Dilsinho,153911,https://open.spotify.com/track/0Zvw8LOeNjBXZ4JW4Ks7h5
119,Woman,"Doja Cat",152843,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
120,MONEY,LISA,152323,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
121,"Estelionato Afetivo - Ao Vivo","Douglas & Vinicius",151525,https://open.spotify.com/track/0m6XpDgZSyqyCg0HKOCaO8
122,"Só Não Divulga","Fernando & Sorocaba",151181,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
123,"Deu Meia Noite, Eu Sumi, Geral Soltando Fogos","Mc Delux",150424,https://open.spotify.com/track/3hycwch1V1aCbKGlcfKg0I
