,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
190,"Lwandle Xiluva","Sir Trill",4025,https://open.spotify.com/track/3s9jBEwEJNJD7Ynzoh8K5I
191,Hope,XXXTENTACION,4023,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
192,"Sure Thing",Miguel,4008,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
193,"Champagne Poetry",Drake,3985,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
194,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,3981,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
195,"Beautiful People (feat. Khalid)","Ed Sheeran",3952,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
196,"Lyf Styl",Aymos,3949,https://open.spotify.com/track/1VSqIYu2mCrGgurfE6mdXc
197,"Beke Le Beke","Busta 929",3936,https://open.spotify.com/track/2b6nCxxqSXvv6z1VFYrvw5
198,"My Heart Goes (La Di Da) (feat. Topic)","Becky Hill",3918,https://open.spotify.com/track/2dWNKXTs5z7Iu1g0kYh4Xe
199,"Jocelyn Flores",XXXTENTACION,3902,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
200,Samsokolo,"Tee Jay",3871,https://open.spotify.com/track/0B2mXxwRJh5CTednLnXpsM
