,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
131,"MONTERO (Call Me By Your Name)","Lil Nas X",58864,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
132,SEJODIOTO,"KAROL G",58803,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
133,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,58480,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
134,"Demasiadas Mujeres","C. Tangana",58431,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
135,"Chucky73: Bzrp Music Sessions, Vol. 43",Bizarrap,57911,https://open.spotify.com/track/4xTd8fz0mZFK5b9IYdGKNd
136,YaMeFui,Bizarrap,57603,https://open.spotify.com/track/42ahuAFlYGjIGBpVdHcLij
137,"Flow 2000","Bad Gyal",57513,https://open.spotify.com/track/1BOLgpXolZEcIaCEIuFhPM
138,"To Be Loved",Adele,57235,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
139,Hawái,Maluma,56281,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
140,"Fiel - Remix",Wisin,55253,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
141,"Tu jardín con enanitos",Melendi,54897,https://open.spotify.com/track/6yCjU5j6YHbux2VQCBTTE1
142,"My Universe",Coldplay,53481,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
143,"No, No Vuelve","Dani Martín",52977,https://open.spotify.com/track/0ALmQwK6LPYk8dkZozCGd9
144,"Blinding Lights","The Weeknd",52426,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
145,"Me Sabe Mal",MARLENA,52171,https://open.spotify.com/track/53w7xjn8fwwU8Pc6rgMm5v
146,"Te Pue' Cuidar",Brray,52126,https://open.spotify.com/track/2echCKqz515YJli33xrrad
147,"All Night Parking (with Erroll Garner) Interlude",Adele,51997,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
148,"Me Fije","Alex Rose",51932,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
149,Cuarentena,"Eladio Carrion",51379,https://open.spotify.com/track/3NzO25bvpU4lUf8kYvcrd1
150,"La Llamada",Pusho,51147,https://open.spotify.com/track/4VlVJff7viYXRb7TbmXGGP
151,"Woman Like Me",Adele,51132,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
152,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,50914,https://open.spotify.com/track/7COGuXyTr12KvdaYXMqheC
153,"Hold On",Adele,50874,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
154,"Wow Wow (feat. Becky G)","Maria Becerra",50669,https://open.spotify.com/track/4Yip3hds5IHyT7AqoNHfmX
155,"Soldadito marinero","Fito y Fitipaldis",50531,https://open.spotify.com/track/0eVborSuxUeSg0meWYd9dZ
156,Woman,"Doja Cat",50221,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
157,Toxic,BoyWithUke,50117,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
158,"Mamichula - con Nicki Nicole",Trueno,50009,https://open.spotify.com/track/0TUW9faHNaBmi89wsYGp9y
159,"Tattoo - Remix with Camilo","Rauw Alejandro",49991,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
160,"KESI - Remix",Camilo,49477,https://open.spotify.com/track/0IqCoZ168iRc9LqfrYgpZy
161,"Poblado - Remix","J Balvin",49391,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
