,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
169,"61 Grad",Endzone,75272,https://open.spotify.com/track/5Z7J2Au61uO7K1ZPNG1eTv
170,Vorbei,Monet192,74942,https://open.spotify.com/track/4ERJuguYFENulgTPXL3rXb
171,"Save Your Tears","The Weeknd",74792,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
172,MEMORIES!,347aidan,74352,https://open.spotify.com/track/27XMmSWSOXJ7eVb40tH93T
173,"Mood (feat. iann dior)",24kGoldn,74332,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
174,Frisch,01099,74299,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
175,"abcdefu (angrier)",GAYLE,73816,https://open.spotify.com/track/1EQFOouqdKYdpbNoOHRVO2
176,"Ohne Dich",KASIMIR1441,73749,https://open.spotify.com/track/1BHgWnOYgtAHhMZU73co1D
177,"Wonderful Dream (Holidays Are Coming) - Radio Version","Melanie Thornton",73737,https://open.spotify.com/track/0SvD6EdetxVtXei2JhkV4B
178,"1000 LÜGEN",Payman,73627,https://open.spotify.com/track/5rIgM6lEEJGgwtopA0kBcD
179,"Sterne unterm Dach",badmómzjay,73549,https://open.spotify.com/track/1edUWAS1x66v10yguQ6qkO
180,"Love Tonight - David Guetta Remix Edit",Shouse,73435,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
181,2055,"Sleepy Hallow",73206,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
182,"Your Love (9PM)",ATB,73168,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
183,"Para Drill",Dardan,73088,https://open.spotify.com/track/1JOAfPOJkTIdrVdrYMF9LD
184,"Take My Breath","The Weeknd",72761,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
185,"Without Me",Eminem,72166,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
186,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",71478,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
187,"Ramenez la coupe à la maison",Vegedream,71270,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
188,Alone,"Nico Santos",71220,https://open.spotify.com/track/0xda5IoHwLOv7BnHLBCrL7
189,"Frag mich nicht","Miksu / Macloud",70352,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
190,"OZEAN (feat. Haftbefehl)",KALIM,70035,https://open.spotify.com/track/4uCUsz6e0vF4rDnyGrMWr6
191,Leon,Kalazh44,69421,https://open.spotify.com/track/1JNyWpJOQS27YrYpQ6xAd1
192,Mistletoe,"Justin Bieber",69230,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
193,u.,niteboi,69053,https://open.spotify.com/track/0J7oHYxjF6Oln61wy0kP2i
194,"Pina Whiskey","Ardian Bujupi",68042,https://open.spotify.com/track/3o1WQbO5GjNnQDI35yU9WY
195,"Ich schwanke noch","Ikke Hüftgold",67999,https://open.spotify.com/track/6myefhZIHsPCDloC1iu8KS
196,"Astronaut In The Ocean","Masked Wolf",67904,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
197,"Wasted Love (feat. Lagique)",Ofenbach,67572,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
198,Airwaves,Pashanim,67449,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
199,"Niemals Allein",SOPHIA,66709,https://open.spotify.com/track/6Mqh9nRS9ksN38qaaa6ZR0
200,"Bei Dir",KUMMER,66575,https://open.spotify.com/track/3XpEKPj7KZt0yYWd7PQf5d
