,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
183,"Do They Know It's Christmas? - 1984 Version","Band Aid",35368,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
184,"What You Know Bout Love","Pop Smoke",35350,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
185,"Off The Grid","Kanye West",35076,https://open.spotify.com/track/6LNoArVBBVZzUTUiAX2aKO
186,"Set Fire to the Rain",Adele,35047,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx
187,"Too Easy",Gunna,34843,https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY
188,"WITHOUT YOU","The Kid LAROI",34730,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
189,Nothing,"Bruno Major",34693,https://open.spotify.com/track/2IAR0DziHCjSu16gR4ihvy
190,"Goosebumps - Remix","Travis Scott",34614,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
191,"Come Back...Be Here (Taylor's Version)","Taylor Swift",34542,https://open.spotify.com/track/4pNApnaUWAL2J4KO2eqokq
192,"The Real Slim Shady",Eminem,34308,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
193,Perfect,"Ed Sheeran",34287,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
194,"Smells Like Teen Spirit - Remastered",Nirvana,34218,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
195,"'Till I Collapse",Eminem,34149,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
196,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",34050,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
197,"Sleigh Ride","The Ronettes",34007,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
198,Hello,Adele,33997,https://open.spotify.com/track/1Yk0cQdMLx5RzzFTYwmuld
199,"Don't Start Now","Dua Lipa",33912,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
200,"Say You Won't Let Go","James Arthur",33906,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
