,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
150,"XO Tour Llif3","Lil Uzi Vert",267839,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
151,"Come & Go (with Marshmello)","Juice WRLD",267831,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
152,"Good Days",SZA,267692,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
153,Moon,"Kanye West",266985,https://open.spotify.com/track/7CC6UbCs4iGsePSzFxYxNn
154,505,"Arctic Monkeys",266356,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
155,"Ambition For Cash","Key Glock",266327,https://open.spotify.com/track/4mIHgQ3ofK2RK34UdbqMbe
156,"Intimidated (feat. H.E.R.)",KAYTRANADA,265658,https://open.spotify.com/track/1jBKtzlwTVtCrScpiiHiKT
157,"Happier Than Ever - Edit","Billie Eilish",264567,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
158,"Space Song","Beach House",264545,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
159,"SLOW DANCING IN THE DARK",Joji,263755,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
160,"Girl At Home (Taylor's Version)","Taylor Swift",263668,https://open.spotify.com/track/0DMVrlMUn01M0IcpDbwgu7
161,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,263378,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
162,"Wasted On You","Morgan Wallen",262844,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
163,"Save Your Tears","The Weeknd",262432,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
164,"Doin' This","Luke Combs",261590,https://open.spotify.com/track/4GyD3o5hWoyCuYpdlzZlRL
165,"Put On A Smile","Bruno Mars",260502,https://open.spotify.com/track/5U4laaEEChW8FOtZXCu8C7
166,YKWIM?,"Yot Club",258781,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
167,masquerade,Siouxxie,258629,https://open.spotify.com/track/0RYHqnmtNRfbYxP6Dn8Vse
168,"Jocelyn Flores",XXXTENTACION,258425,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
169,"The Spins","Mac Miller",257625,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
170,"exile (feat. Bon Iver)","Taylor Swift",257162,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
171,"See You Again (feat. Kali Uchis)","Tyler, The Creator",256461,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
172,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",255691,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
173,DÁKITI,"Bad Bunny",255052,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
174,goosebumps,"Travis Scott",253677,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
175,"Die For You","The Weeknd",253223,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
176,"my ex's best friend (with blackbear)","Machine Gun Kelly",252905,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
177,Robbery,"Juice WRLD",252019,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
178,"100 Shots","Young Dolph",251896,https://open.spotify.com/track/3TXy6nchgKeYlVwOKNk9lE
179,"Daddy Issues","The Neighbourhood",251752,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
180,"Heartbreak Anniversary",Giveon,251052,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
181,"Off The Grid","Kanye West",249997,https://open.spotify.com/track/6LNoArVBBVZzUTUiAX2aKO
182,"Dreams - 2004 Remaster","Fleetwood Mac",249335,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
183,"Wishing Well","Juice WRLD",249041,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
184,"Mood (feat. iann dior)",24kGoldn,247128,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
185,"Someone You Loved","Lewis Capaldi",246896,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
186,I.Y.B.,"NLE Choppa",246026,https://open.spotify.com/track/2sU586qrQQhByPLqEF7pLX
187,"Whiskey Glasses","Morgan Wallen",245430,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
188,"Pursuit Of Happiness (Nightmare)","Kid Cudi",244511,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
